time,Xm
0,-8.353917585
0.1,-8.351345506
0.2,-8.348763912
0.3,-8.346172805
0.4,-8.343572188
0.5,-8.340962063
0.6,-8.338342432
0.7,-8.335713297
0.8,-8.333074663
0.9,-8.330426531
1,-8.327768904
1.1,-8.325101784
1.2,-8.322425176
1.3,-8.319739081
1.4,-8.317043504
1.5,-8.314338447
1.6,-8.311623913
1.7,-8.308899907
1.8,-8.306166432
1.9,-8.303423491
2,-8.300671089
2.1,-8.297909228
2.2,-8.295137914
2.3,-8.292357149
2.4,-8.289566939
2.5,-8.286767287
2.6,-8.283958197
2.7,-8.281139673
2.8,-8.278311721
2.9,-8.275474345
3,-8.272627549
3.1,-8.269771337
3.2,-8.266905716
3.3,-8.264030689
3.4,-8.261146262
3.5,-8.258252441
3.6,-8.255349229
3.7,-8.252436633
3.8,-8.249514658
3.9,-8.246583309
4,-8.243642593
4.1,-8.240692516
4.2,-8.237733082
4.3,-8.234764298
4.4,-8.23178617
4.5,-8.228798705
4.6,-8.225801907
4.7,-8.222795785
4.8,-8.219780344
4.9,-8.21675559
5,-8.21372153
5.1,-8.210678172
5.2,-8.207625522
5.3,-8.204563586
5.4,-8.201492373
5.5,-8.198411888
5.6,-8.19532214
5.7,-8.192223136
5.8,-8.189114882
5.9,-8.185997388
6,-8.18287066
6.1,-8.179734706
6.2,-8.176589534
6.3,-8.173435152
6.4,-8.170271569
6.5,-8.167098791
6.6,-8.163916828
6.7,-8.160725688
6.8,-8.157525379
6.9,-8.15431591
7,-8.151097289
7.1,-8.147869525
7.2,-8.144632627
7.3,-8.141386604
7.4,-8.138131464
7.5,-8.134867217
7.6,-8.131593872
7.7,-8.128311438
7.8,-8.125019924
7.9,-8.12171934
8,-8.118409696
8.1,-8.115091
8.2,-8.111763264
8.3,-8.108426496
8.4,-8.105080706
8.5,-8.101725905
8.6,-8.098362103
8.7,-8.09498931
8.8,-8.091607536
8.9,-8.088216792
9,-8.084817087
9.1,-8.081408434
9.2,-8.077990842
9.3,-8.074564322
9.4,-8.071128885
9.5,-8.067684542
9.6,-8.064231304
9.7,-8.060769182
9.8,-8.057298188
9.9,-8.053818332
10,-8.050329626
10.1,-8.046832083
10.2,-8.043325712
10.3,-8.039810527
10.4,-8.036286538
10.5,-8.032753758
10.6,-8.029212199
10.7,-8.025661872
10.8,-8.02210279
10.9,-8.018534965
11,-8.014958409
11.1,-8.011373135
11.2,-8.007779155
11.3,-8.004176482
11.4,-8.000565129
11.5,-7.996945109
11.6,-7.993316434
11.7,-7.989679118
11.8,-7.986033173
11.9,-7.982378614
12,-7.978715453
12.1,-7.975043704
12.2,-7.971363381
12.3,-7.967674496
12.4,-7.963977065
12.5,-7.960271101
12.6,-7.956556619
12.7,-7.952833631
12.8,-7.949102153
12.9,-7.945362198
13,-7.941613782
13.1,-7.93785692
13.2,-7.934091625
13.3,-7.930317913
13.4,-7.926535799
13.5,-7.922745299
13.6,-7.918946426
13.7,-7.915139197
13.8,-7.911323627
13.9,-7.907499732
14,-7.903667527
14.1,-7.899827028
14.2,-7.895978252
14.3,-7.892121213
14.4,-7.888255928
14.5,-7.884382413
14.6,-7.880500685
14.7,-7.87661076
14.8,-7.872712654
14.9,-7.868806383
15,-7.864891965
15.1,-7.860969415
15.2,-7.857038751
15.3,-7.85309999
15.4,-7.849153148
15.5,-7.845198243
15.6,-7.841235291
15.7,-7.837264311
15.8,-7.833285319
15.9,-7.829298332
16,-7.825303369
16.1,-7.821300447
16.2,-7.817289584
16.3,-7.813270798
16.4,-7.809244107
16.5,-7.805209528
16.6,-7.801167081
16.7,-7.797116784
16.8,-7.793058654
16.9,-7.788992711
17,-7.784918974
17.1,-7.78083746
17.2,-7.776748188
17.3,-7.772651178
17.4,-7.768546449
17.5,-7.764434019
17.6,-7.760313908
17.7,-7.756186134
17.8,-7.752050719
17.9,-7.74790768
18,-7.743757037
18.1,-7.739598811
18.2,-7.735433021
18.3,-7.731259687
18.4,-7.727078828
18.5,-7.722890465
18.6,-7.718694618
18.7,-7.714491307
18.8,-7.710280552
18.9,-7.706062375
19,-7.701836794
19.1,-7.697603832
19.2,-7.693363509
19.3,-7.689115845
19.4,-7.684860862
19.5,-7.680598581
19.6,-7.676329022
19.7,-7.672052207
19.8,-7.667768157
19.9,-7.663476895
20,-7.65917844
20.1,-7.654872815
20.2,-7.650560043
20.3,-7.646240143
20.4,-7.64191314
20.5,-7.637579054
20.6,-7.633237907
20.7,-7.628889723
20.8,-7.624534523
20.9,-7.62017233
21,-7.615803166
21.1,-7.611427054
21.2,-7.607044017
21.3,-7.602654077
21.4,-7.598257257
21.5,-7.59385358
21.6,-7.58944307
21.7,-7.585025748
21.8,-7.58060164
21.9,-7.576170767
22,-7.571733154
22.1,-7.567288824
22.2,-7.5628378
22.3,-7.558380106
22.4,-7.553915766
22.5,-7.549444803
