time,Is
0,0
0.1,0.0004
0.2,0.0008
0.3,0.0012
0.4,0.0016
0.5,0.002
0.6,0.0024
0.7,0.0028
0.8,0.0032
0.9,0.0036
1,0.004
1.1,0.0044
1.2,0.0048
1.3,0.0052
1.4,0.0056
1.5,0.006
1.6,0.0064
1.7,0.0068
1.8,0.0072
1.9,0.0076
2,0.008
2.1,0.0084
2.2,0.0088
2.3,0.0092
2.4,0.0096
2.5,0.01
2.6,0.0104
2.7,0.0108
2.8,0.0112
2.9,0.0116
3,0.012
3.1,0.0124
3.2,0.0128
3.3,0.0132
3.4,0.0136
3.5,0.014
3.6,0.0144
3.7,0.0148
3.8,0.0152
3.9,0.0156
4,0.016
4.1,0.0164
4.2,0.0168
4.3,0.0172
4.4,0.0176
4.5,0.018
4.6,0.0184
4.7,0.0188
4.8,0.0192
4.9,0.0196
5,0.02
5.1,0.0204
5.2,0.0208
5.3,0.0212
5.4,0.0216
5.5,0.022
5.6,0.0224
5.7,0.0228
5.8,0.0232
5.9,0.0236
6,0.024
6.1,0.0244
6.2,0.0248
6.3,0.0252
6.4,0.0256
6.5,0.026
6.6,0.0264
6.7,0.0268
6.8,0.0272
6.9,0.0276
7,0.028
7.1,0.0284
7.2,0.0288
7.3,0.0292
7.4,0.0296
7.5,0.03
7.6,0.0304
7.7,0.0308
7.8,0.0312
7.9,0.0316
8,0.032
8.1,0.0324
8.2,0.0328
8.3,0.0332
8.4,0.0336
8.5,0.034
8.6,0.0344
8.7,0.0348
8.8,0.0352
8.9,0.0356
9,0.036
9.1,0.0364
9.2,0.0368
9.3,0.0372
9.4,0.0376
9.5,0.038
9.6,0.0384
9.7,0.0388
9.8,0.0392
9.9,0.0396
10,0.04
10.1,0.0404
10.2,0.0408
10.3,0.0412
10.4,0.0416
10.5,0.042
10.6,0.0424
10.7,0.0428
10.8,0.0432
10.9,0.0436
11,0.044
11.1,0.0444
11.2,0.0448
11.3,0.0452
11.4,0.0456
11.5,0.046
11.6,0.0464
11.7,0.0468
11.8,0.0472
11.9,0.0476
12,0.048
12.1,0.0484
12.2,0.0488
12.3,0.0492
12.4,0.0496
12.5,0.05
12.6,0.0504
12.7,0.0508
12.8,0.0512
12.9,0.0516
13,0.052
13.1,0.0524
13.2,0.0528
13.3,0.0532
13.4,0.0536
13.5,0.054
13.6,0.0544
13.7,0.0548
13.8,0.0552
13.9,0.0556
14,0.056
14.1,0.0564
14.2,0.0568
14.3,0.0572
14.4,0.0576
14.5,0.058
14.6,0.0584
14.7,0.0588
14.8,0.0592
14.9,0.0596
15,0.06
15.1,0.0604
15.2,0.0608
15.3,0.0612
15.4,0.0616
15.5,0.062
15.6,0.0624
15.7,0.0628
15.8,0.0632
15.9,0.0636
16,0.064
16.1,0.0644
16.2,0.0648
16.3,0.0652
16.4,0.0656
16.5,0.066
16.6,0.0664
16.7,0.0668
16.8,0.0672
16.9,0.0676
17,0.068
17.1,0.0684
17.2,0.0688
17.3,0.0692
17.4,0.0696
17.5,0.07
17.6,0.0704
17.7,0.0708
17.8,0.0712
17.9,0.0716
18,0.072
18.1,0.0724
18.2,0.0728
18.3,0.0732
18.4,0.0736
18.5,0.074
18.6,0.0744
18.7,0.0748
18.8,0.0752
18.9,0.0756
19,0.076
19.1,0.0764
19.2,0.0768
19.3,0.0772
19.4,0.0776
19.5,0.078
19.6,0.0784
19.7,0.0788
19.8,0.0792
19.9,0.0796
20,0.08
20.1,0.0804
20.2,0.0808
20.3,0.0812
20.4,0.0816
20.5,0.082
20.6,0.0824
20.7,0.0828
20.8,0.0832
20.9,0.0836
21,0.084
21.1,0.0844
21.2,0.0848
21.3,0.0852
21.4,0.0856
21.5,0.086
21.6,0.0864
21.7,0.0868
21.8,0.0872
21.9,0.0876
22,0.088
22.1,0.0884
22.2,0.0888
22.3,0.0892
22.4,0.0896
22.5,0.09
22.6,0.0904
22.7,0.0908
22.8,0.0912
22.9,0.0916
23,0.092
23.1,0.0924
23.2,0.0928
23.3,0.0932
23.4,0.0936
23.5,0.094
23.6,0.0944
23.7,0.0948
23.8,0.0952
23.9,0.0956
24,0.096
24.1,0.0964
24.2,0.0968
24.3,0.0972
24.4,0.0976
24.5,0.098
24.6,0.0984
24.7,0.0988
24.8,0.0992
24.9,0.0996
25,0.1
25.1,0.1004
25.2,0.1008
25.3,0.1012
25.4,0.1016
25.5,0.102
25.6,0.1024
25.7,0.1028
25.8,0.1032
25.9,0.1036
26,0.104
26.1,0.1044
26.2,0.1048
26.3,0.1052
26.4,0.1056
26.5,0.106
26.6,0.1064
26.7,0.1068
26.8,0.1072
26.9,0.1076
27,0.108
27.1,0.1084
27.2,0.1088
27.3,0.1092
27.4,0.1096
27.5,0.11
27.6,0.1104
27.7,0.1108
27.8,0.1112
27.9,0.1116
28,0.112
28.1,0.1124
28.2,0.1128
28.3,0.1132
28.4,0.1136
28.5,0.114
28.6,0.1144
28.7,0.1148
28.8,0.1152
28.9,0.1156
29,0.116
29.1,0.1164
29.2,0.1168
29.3,0.1172
29.4,0.1176
29.5,0.118
29.6,0.1184
29.7,0.1188
29.8,0.1192
29.9,0.1196
30,0.12
30.1,0.1204
30.2,0.1208
30.3,0.1212
30.4,0.1216
30.5,0.122
30.6,0.1224
30.7,0.1228
30.8,0.1232
30.9,0.1236
31,0.124
31.1,0.1244
31.2,0.1248
31.3,0.1252
31.4,0.1256
31.5,0.126
31.6,0.1264
31.7,0.1268
31.8,0.1272
31.9,0.1276
32,0.128
32.1,0.1284
32.2,0.1288
32.3,0.1292
32.4,0.1296
32.5,0.13
32.6,0.1304
