time,G_isyn_dend
0,0.106249648
0.1,0.092804818
0.2,0.088441177
0.3,0.126498429
0.4,0.123844632
0.5,0.106611532
0.6,0.111447127
0.7,0.111863465
0.8,0.104090574
0.9,0.082597479
1,0.071814082
1.1,0.112343442
1.2,0.086949338
1.3,0.098865664
1.4,0.077249483
1.5,0.096140496
1.6,0.105752143
1.7,0.122908394
1.8,0.118313826
1.9,0.115446253
2,0.080545828
2.1,0.108106577
2.2,0.06479739
2.3,0.080128412
2.4,0.09829388
2.5,0.123144097
2.6,0.118262623
2.7,0.101068297
2.8,0.061630123
2.9,0.105794351
3,0.096055962
3.1,0.100912265
3.2,0.097707224
3.3,0.096601301
3.4,0.093643089
3.5,0.078243444
3.6,0.078994762
3.7,0.11735431
3.8,0.119087395
3.9,0.119821296
4,0.099315537
4.1,0.082133546
4.2,0.068189924
4.3,0.100052055
4.4,0.090779268
4.5,0.104707754
4.6,0.107302749
4.7,0.112958836
4.8,0.107459614
4.9,0.099938812
5,0.093555823
5.1,0.091236295
5.2,0.115896032
5.3,0.111740625
5.4,0.112251354
5.5,0.108599284
5.6,0.083272562
5.7,0.078354097
5.8,0.072813933
5.9,0.082537989
6,0.081633944
6.1,0.086226399
6.2,0.124935207
6.3,0.114515541
6.4,0.096371248
6.5,0.109780433
6.6,0.078618953
6.7,0.081555537
6.8,0.07846374
6.9,0.075751681
7,0.092068037
7.1,0.088025657
7.2,0.12101582
7.3,0.110912654
7.4,0.129646368
7.5,0.11921043
7.6,0.091706193
7.7,0.101052479
7.8,0.114401452
7.9,0.103996152
8,0.122809649
8.1,0.10094347
8.2,0.068579074
8.3,0.097612787
8.4,0.088936336
8.5,0.135840193
8.6,0.094789751
8.7,0.068977582
8.8,0.10745416
8.9,0.098312698
9,0.082719136
9.1,0.090009351
9.2,0.124611807
9.3,0.110376449
9.4,0.089079914
9.5,0.07483869
9.6,0.109406536
9.7,0.108018425
9.8,0.115440636
9.9,0.128548328
10,0.101983623
10.1,0.079367275
10.2,0.102834455
10.3,0.102040018
10.4,0.071745961
10.5,0.069057943
10.6,0.132080954
10.7,0.118438551
10.8,0.097992248
10.9,0.109386501
11,0.088671726
11.1,0.098016626
11.2,0.117526626
11.3,0.127509172
11.4,0.115939285
11.5,0.10464385
11.6,0.10109589
11.7,0.115677081
11.8,0.123765296
11.9,0.113327261
12,0.118702321
12.1,0.07338907
12.2,0.111286913
12.3,0.109491953
12.4,0.088176824
12.5,0.081856428
12.6,0.107578759
12.7,0.061841377
12.8,0.129166301
12.9,0.088144952
13,0.062047093
13.1,0.083570923
13.2,0.119232008
13.3,0.099816309
13.4,0.104831403
13.5,0.080857889
13.6,0.113135939
13.7,0.12235467
13.8,0.116380857
13.9,0.10741154
14,0.113287345
14.1,0.091566227
14.2,0.11013184
14.3,0.071791492
14.4,0.103939807
14.5,0.110763954
14.6,0.096766489
14.7,0.11341477
14.8,0.07805039
14.9,0.110865692
15,0.083165302
15.1,0.083843071
15.2,0.117737504
15.3,0.100433722
15.4,0.112254494
15.5,0.092897964
15.6,0.133035786
15.7,0.12431262
15.8,0.130763052
15.9,0.114676074
16,0.085860339
16.1,0.095843608
16.2,0.127410592
16.3,0.098895467
16.4,0.11059734
16.5,0.106022875
16.6,0.122244998
16.7,0.095982052
16.8,0.099836685
16.9,0.088890827
17,0.088202503
17.1,0.126312204
17.2,0.099565045
17.3,0.097771244
17.4,0.115761348
17.5,0.111817251
17.6,0.086503951
17.7,0.102699438
17.8,0.108564401
17.9,0.125898773
18,0.117469392
18.1,0.062475875
18.2,0.138181429
18.3,0.081141931
18.4,0.097080467
18.5,0.106651982
18.6,0.137352059
18.7,0.121137009
18.8,0.102122376
18.9,0.125621212
19,0.113128643
19.1,0.086400342
19.2,0.07501255
19.3,0.068500349
19.4,0.062950235
19.5,0.081937917
19.6,0.07844095
19.7,0.096170753
19.8,0.116029395
19.9,0.093005873
20,0.129292656
20.1,0.06661825
20.2,0.094429768
20.3,0.095353893
20.4,0.085410254
20.5,0.09509096
20.6,0.064837736
20.7,0.114890483
20.8,0.113993686
20.9,0.088534708
21,0.10422329
21.1,0.083589249
21.2,0.101586077
21.3,0.077622716
21.4,0.086623125
21.5,0.13922566
21.6,0.090602041
21.7,0.101139514
21.8,0.106848996
21.9,0.100673621
22,0.098989725
22.1,0.128902228
22.2,0.068799149
22.3,0.120801104
22.4,0.09828916
22.5,0.083722042
22.6,0.108086701
22.7,0.124725994
22.8,0.10662285
22.9,0.082155184
23,0.062859406
23.1,0.08116836
23.2,0.093716344
23.3,0.081584595
23.4,0.089817613
23.5,0.081316835
23.6,0.098910363
23.7,0.124236374
23.8,0.093246115
23.9,0.094309364
24,0.101292756
24.1,0.12933927
24.2,0.092366871
24.3,0.12076461
24.4,0.102346325
24.5,0.107550964
24.6,0.106398849
24.7,0.093330725
24.8,0.061834228
24.9,0.097562165
25,0.114052945
25.1,0.120114801
25.2,0.090782598
25.3,0.098621286
25.4,0.097551758
25.5,0.099098392
25.6,0.091504787
25.7,0.103438115
25.8,0.077472286
25.9,0.118587658
26,0.104914698
26.1,0.100151765
26.2,0.093608966
26.3,0.073053249
26.4,0.111930826
26.5,0.089328004
26.6,0.092046764
26.7,0.141833239
26.8,0.10242432
26.9,0.082135118
