time,Xm
0,-8.07489
1,-8.07424
2,-8.07532
3,-8.07467
4,-8.07576
5,-8.07359
6,-8.07424
7,-8.07359
8,-8.07186
9,-8.06124
10,-8.03936
11,-8.00815
12,-7.97305
13,-7.93557
14,-7.90198
15,-7.87533
16,-7.8515
17,-7.82918
18,-7.8099
19,-7.78996
20,-7.76916
21,-7.75031
22,-7.73449
23,-7.71933
24,-7.70676
25,-7.69636
26,-7.68596
27,-7.67794
28,-7.67209
29,-7.66602
30,-7.66169
31,-7.65909
32,-7.65909
33,-7.65931
34,-7.65931
35,-7.66039
36,-7.66212
37,-7.66667
38,-7.67166
39,-7.68032
40,-7.69029
41,-7.70286
42,-7.71738
43,-7.73276
44,-7.75053
45,-7.76916
46,-7.78693
47,-7.8073
48,-7.82853
49,-7.85193
50,-7.87577
51,-7.89982
52,-7.92582
53,-7.95225
54,-7.97955
55,-8.0062
56,-8.03394
57,-8.06297
58,-8.09309
59,-8.12364
60,-8.15549
61,-8.18929
62,-8.22266
63,-8.25603
64,-8.29048
65,-8.3258
66,-8.36242
67,-8.39968
68,-8.43717
69,-8.47531
70,-8.51301
71,-8.55092
72,-8.58863
73,-8.62784
74,-8.6675
75,-8.7078
76,-8.74853
77,-8.78775
78,-8.82675
79,-8.86532
80,-8.9041
81,-8.94375
82,-8.98276
83,-9.02262
84,-9.06098
85,-9.10084
86,-9.13876
87,-9.17581
88,-9.21373
89,-9.25057
90,-9.28697
91,-9.32229
92,-9.35825
93,-9.39249
94,-9.42781
95,-9.46074
96,-9.49346
97,-9.52488
98,-9.55413
99,-9.5849
100,-9.61393
101,-9.6421
102,-9.66853
103,-9.69302
104,-9.7175
105,-9.74155
106,-9.76192
107,-9.7812
108,-9.80005
109,-9.81674
110,-9.83321
111,-9.84772
112,-9.86029
113,-9.87264
114,-9.88152
115,-9.88932
116,-9.89561
117,-9.89973
118,-9.90167
119,-9.90276
120,-9.90254
121,-9.90254
122,-9.89907
123,-9.89583
124,-9.89019
125,-9.88087
126,-9.87026
127,-9.85552
128,-9.83797
129,-9.81826
130,-9.7968
131,-9.77319
132,-9.74762
133,-9.71988
134,-9.69085
135,-9.65748
136,-9.6252
137,-9.58923
138,-9.55088
139,-9.51188
140,-9.46984
141,-9.42607
142,-9.38014
143,-9.33247
144,-9.28393
145,-9.23237
146,-9.17798
147,-9.1223
148,-9.06401
149,-9.00486
150,-8.94202
151,-8.87919
152,-8.8118
153,-8.7442
154,-8.67378
155,-8.60184
156,-8.52882
157,-8.45212
158,-8.37563
159,-8.2985
160,-8.21898
161,-8.13772
162,-8.0556
163,-7.97089
164,-7.88552
165,-7.79906
166,-7.71109
167,-7.62204
168,-7.5306
169,-7.43765
170,-7.34253
171,-7.24871
172,-7.1525
173,-7.0537
174,-6.95793
175,-6.86021
176,-6.76141
177,-6.66282
178,-6.56293
179,-6.46066
180,-6.35861
181,-6.25569
182,-6.15515
183,-6.05353
184,-5.95126
185,-5.84921
186,-5.74629
187,-5.64445
188,-5.54239
189,-5.44012
190,-5.33742
191,-5.23602
192,-5.13548
193,-5.03429
194,-4.93462
195,-4.83495
196,-4.73593
197,-4.63886
198,-4.54136
199,-4.44732
200,-4.35372
201,-4.26033
202,-4.16824
203,-4.07811
204,-3.98905
205,-3.9013
206,-3.81593
207,-3.73186
208,-3.64974
209,-3.5687
210,-3.49113
211,-3.41595
212,-3.34228
213,-3.27251
214,-3.20317
215,-3.13665
216,-3.07295
217,-3.01142
218,-2.95161
219,-2.89333
220,-2.83656
221,-2.78391
222,-2.73277
223,-2.68424
224,-2.63787
225,-2.59388
226,-2.55206
227,-2.51285
228,-2.47515
229,-2.44091
